pathway,n_genes,genes,mean_nes,max_abs_nes,min_padj
HALLMARK_FATTY_ACID_METABOLISM,5,"FZD5,LYN,NMI,TIMP1,TLR3",-1.41316197284713,1.5743334249863359,0.018755676657584017
HALLMARK_CHOLESTEROL_HOMEOSTASIS,4,"FZD5,MSR1,NMI,TLR3",-1.0020438369388833,2.559589741555993,0.0
HALLMARK_P53_PATHWAY,4,"LYN,MSR1,NMI,TIMP1",1.6356908254903804,1.8452454632942152,0.0003472618857234242
HALLMARK_GLYCOLYSIS,4,"FZD5,LYN,MSR1,TLR3",-0.14777001577941923,2.032018385084892,0.0009361542782250515
HALLMARK_APICAL_JUNCTION,4,"CMKLR1,LYN,MSR1,TIMP1",1.4862551851730292,1.5951679522884135,0.0053391514929976465
HALLMARK_MYC_TARGETS_V1,3,"CMKLR1,LYN,TIMP1",-2.0046442111686025,2.1590252808199653,0.0
HALLMARK_MYC_TARGETS_V2,3,"FZD5,MSR1,NMI",1.6616103198939447,1.8304628160310186,0.00024648071750536863
HALLMARK_TGF_BETA_SIGNALING,3,"LYN,TIMP1,TLR3",1.5994267341598765,1.682173906429732,0.00199164905047258
HALLMARK_ESTROGEN_RESPONSE_LATE,3,"CMKLR1,LYN,TIMP1",1.5560453659987903,1.6358272858378757,0.004041200179131213
HALLMARK_KRAS_SIGNALING_DN,3,"CMKLR1,LYN,MSR1",1.4095296973431184,1.4859624113664593,0.01657082792308168
HALLMARK_DNA_REPAIR,3,"FZD5,NMI,TLR3",1.4726747956513557,1.5232686433369151,0.02217818088554175
HALLMARK_HEME_METABOLISM,3,"LYN,TIMP1,TLR3",-1.4363212307122273,1.4906652422356148,0.032970027247956404
HALLMARK_HEDGEHOG_SIGNALING,2,"CMKLR1,LYN",1.611967500118845,1.7638199603019533,0.00038472900650604234
HALLMARK_APICAL_SURFACE,2,"CMKLR1,MSR1",1.5473406438465225,1.6273232869114913,0.006317464279029138
HALLMARK_E2F_TARGETS,2,"FZD5,TLR3",1.3664844597342949,1.3714529016308346,0.06580269450688714
HALLMARK_G2M_CHECKPOINT,1,TLR3,1.4834774565785516,1.4834774565785516,0.03080490724117295
