gene_symbol,cell_type,rho,pvalue,padj,significant
TLR3,Gamma_delta_T_cell,-0.29696356275303637,0.05853156820165295,0.13990472399419487,0
MSR1,Activated_dendritic_cell,0.29372469635627524,0.0616083980766009,0.14548489184353947,0
CMKLR1,Activated_B_cell,0.29170040485829957,0.06359342980650795,0.14838466954851853,0
TLR3,Type_1_T_helper_cell,0.29028340080971654,0.0650117979447935,0.14990955761387678,0
NMI,Type_17_T_helper_cell,0.28846153846153844,0.0668707601226135,0.15240312772130518,0
FZD5,Natural_killer_cell,0.2854251012145749,0.07005870198203312,0.15783339756871828,0
TIMP1,Type_17_T_helper_cell,0.28400809716599185,0.07158532436423348,0.15944004062942913,0
TLR3,Plasmacytoid_dendritic_cell,0.28279352226720644,0.07291382219085296,0.16057426010569867,0
MSR1,Natural_killer_cell,0.2797570850202429,0.07631671025665598,0.1662008356700508,0
NMI,Central_memory_CD8_T_cell,0.278744939271255,0.07747722356729891,0.16687401999110535,0
CMKLR1,Natural_killer_T_cell,0.27712550607287445,0.07936164362509945,0.16907480598390753,0
FZD5,Regulatory_T_cell,0.27368421052631575,0.0834802654605018,0.17593690355116506,0
NMI,T_follicular_helper_cell,0.2710526315789473,0.08673628881249673,0.18085438943882298,0
MSR1,Type_17_T_helper_cell,0.26680161943319836,0.09219502106449529,0.1882315013400112,0
CMKLR1,Central_memory_CD4_T_cell,0.26680161943319836,0.09219502106449529,0.1882315013400112,0
TLR3,Effector_memory_CD4_T_cell,-0.26578947368421046,0.09353150814955624,0.18899150100322706,0
FZD5,Activated_dendritic_cell,0.2558704453441295,0.10739913984757354,0.2147982796951471,0
FZD5,T_follicular_helper_cell,0.2546558704453441,0.10919532669525234,0.21618468719464098,0
FZD5,MDSC,0.2504048582995951,0.11565493467950594,0.22668367197183165,0
FZD5,Memory_B_cell,-0.24372469635627525,0.1263597452012013,0.2447445649512685,0
TLR3,Regulatory_T_cell,0.24311740890688255,0.12736706951545607,0.2447445649512685,0
TLR3,Eosinophil,0.23684210526315785,0.13811588152922116,0.2628224541721102,0
