held_out_donor,gene_symbol,severity_beta,rank_descending_beta
16_063,SLC31A1,0.4191031287189722,23
16_063,TLR2,0.6750279531699108,2
17_093,CD82,0.5418827404700236,3
17_093,FPR1,0.46972920716216376,10
17_093,NLRP3,0.5190388980609189,5
17_093,P2RX4,0.6784896211778353,1
17_093,SLC31A1,0.42586887629395126,16
17_093,TLR2,0.6078079933874752,2
17_071,CD82,0.5505545446596203,7
17_071,FPR1,0.5423287646080124,9
17_071,NLRP3,0.5424979308472556,8
17_071,P2RX4,0.7081796713721739,1
17_071,SLC31A1,0.31121754062905393,39
17_071,TLR2,0.659464714081565,2
04_028,CD82,0.6575459262671739,2
04_028,FPR1,0.5257699657805713,6
04_028,NLRP3,0.5198830539394541,9
04_028,P2RX4,0.7222231095250046,1
04_028,SLC31A1,0.48790751071175076,14
04_028,TLR2,0.6504652971096733,3
13_030,CD82,0.5723026465715854,3
13_030,FPR1,0.5322095831892726,5
13_030,NLRP3,0.5712564725155626,4
13_030,P2RX4,0.6829643450081717,1
13_030,SLC31A1,0.4259385848684706,19
13_030,TLR2,0.6468450479586693,2
05_011,CD82,0.6347328812404202,2
05_011,FPR1,0.46324702831390185,10
05_011,NLRP3,0.5414954351768572,5
05_011,P2RX4,0.6544432410316771,1
05_011,SLC31A1,0.5210499150536205,6
05_011,TLR2,0.5595021093526961,3
05_049,CD82,0.5603180099553459,3
05_049,FPR1,0.5158413054213373,5
05_049,NLRP3,0.5504335642681477,4
05_049,P2RX4,0.6837326913721845,1
05_049,SLC31A1,0.45387911365248834,13
05_049,TLR2,0.6513757058425051,2
10_005,CD82,0.5541119270277794,7
10_005,FPR1,0.5730035240261937,5
10_005,NLRP3,0.5884057298935769,3
10_005,P2RX4,0.6785712119112861,2
10_005,SLC31A1,0.44045189672536,18
10_005,TLR2,0.6979753159201575,1
16_055,CD82,0.5092561343325568,8
16_055,FPR1,0.5291086194643956,5
16_055,NLRP3,0.5194931766353915,6
16_055,P2RX4,0.6459393494421567,1
16_055,SLC31A1,0.4619684894738555,11
16_055,TLR2,0.6328154384057276,2
17_037,CD82,0.5678221316656539,5
17_037,FPR1,0.5723998737253557,4
17_037,NLRP3,0.5876692529767146,3
17_037,P2RX4,0.6705497451905077,1
17_037,SLC31A1,0.4691979782327343,12
17_037,TLR2,0.6699372721020814,2
