gene_symbol,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations
CD40,0.1665,0.2645,0.418,0.9635,0.4139931,-0.038583655,0.92206734,27.0,1.0,106.02499999999986,2000
CD55,0.0,0.0,0.004,0.471,-0.012869037,-0.42384276,0.35059428,108.0,35.0,153.0,2000
CD82,0.282,0.4845,0.72,0.9965,0.5695294,0.19179152,0.905519,11.0,1.0,71.02499999999986,2000
CDKN1A,0.002,0.016,0.076,0.897,0.26364294,-0.1643442,0.60979563,52.0,12.0,120.0,2000
CHST2,0.0005,0.0045,0.023,0.527,0.014385415,-0.3681391,0.43890488,103.0,21.0,151.0,2000
CLEC5A,0.001,0.006,0.029,0.859,0.21508218,-0.17234385,0.54267067,62.5,20.0,126.0,2000
CMKLR1,0.0215,0.078,0.2245,0.9405,0.34313634,-0.07691454,0.7297224,38.0,6.0,107.0,2000
CSF1,0.0065,0.0215,0.054,0.818,0.18107757,-0.20370531,0.6122017,70.0,13.0,128.0,2000
CSF3R,0.214,0.3905,0.6455,0.9965,0.53333914,0.1855737,0.9467774,14.0,1.0,59.0,2000
CX3CL1,0.0145,0.04,0.113,0.8345,0.19681582,-0.1923163,0.65030074,65.0,8.0,134.0,2000
CXCL8,0.0025,0.0045,0.0095,0.435,-0.038725518,-0.5327808,0.44030243,113.0,32.0,154.0,2000
CXCR6,0.0,0.0,0.0015,0.221,-0.16716084,-0.64882076,0.27754402,132.0,43.975,158.0,2000
CYBB,0.008,0.036,0.1215,0.9545,0.29348242,-0.052844413,0.7005537,47.0,9.0,103.02499999999986,2000
DCBLD2,0.0335,0.091,0.2245,0.937,0.32695127,-0.08980625,0.66185886,42.0,5.0,119.0,2000
EBI3,0.0115,0.024,0.073,0.806,0.21078679,-0.31469318,0.65439683,63.0,11.0,141.0,2000
EDN1,0.0,0.0,0.004,0.3845,-0.07811394,-0.6752873,0.39227507,119.0,36.0,157.0,2000
EIF2AK2,0.0,0.0,0.003,0.5605,0.030555656,-0.47949472,0.38974783,101.0,38.0,152.02499999999986,2000
EMP3,0.0,0.0005,0.005,0.646,0.06455582,-0.30573267,0.4057722,94.0,36.0,144.0,2000
F3,0.017,0.0435,0.1095,0.8135,0.19981042,-0.25756836,0.7264828,63.0,7.0,134.0,2000
FPR1,0.1785,0.4235,0.726,1.0,0.5510016,0.27699065,0.80576795,12.0,2.0,52.0,2000
FZD5,0.004,0.009,0.0335,0.6505,0.08995826,-0.377348,0.55039144,86.0,17.0,146.0,2000
GABBR1,0.001,0.0055,0.0415,0.8065,0.16181925,-0.27350897,0.55502844,73.0,17.0,139.0,2000
GCH1,0.0,0.0,0.0,0.3835,-0.077532396,-0.60102767,0.36793154,119.0,52.0,156.0,2000
GNA15,0.0,0.0,0.0,0.264,-0.12321736,-0.53945845,0.28827032,126.0,54.975,157.0,2000
GNAI3,0.0005,0.003,0.0165,0.451,-0.023256639,-0.43728167,0.4138545,109.0,26.0,152.0,2000
