model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling
total_association,TLR1,0.4448284339849868,0.27072537578975314,-0.11989480415974568,1.0095516721297193,1.643098408072552,0.11599226603378741,20,26,,,0.954330993468347,16,0.44482843398498684,1.6430984080725521,0.0558,0.58776,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,TNFSF10,0.434767359760835,0.26828019273517434,-0.12485531591017218,0.9943900354318422,1.620571967420659,0.12077004314963197,20,26,,,0.954330993468347,17,0.43476735976083497,1.6205719674206582,0.076,0.60198,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,HPN,0.43010510968696775,0.23125354982867236,-0.05228134230611153,0.9124915616800471,1.8598854374586575,0.07767445109296135,20,26,,,0.8766116623348496,18,0.4301051096869678,1.8598854374586573,0.0554,0.58776,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CD40,0.4265808100200284,0.29738606936955314,-0.1937556604109218,1.0469172804509785,1.4344344068448232,0.16690063186840082,20,26,,,0.954330993468347,19,0.4265808100200284,1.4344344068448227,0.1418,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,C3AR1,0.41624072633758497,0.28730822548884277,-0.1830737301309518,1.0155551828061218,1.4487602143285978,0.1629027240793935,20,26,,,0.954330993468347,20,0.416240726337585,1.4487602143285978,0.1344,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,NOD2,0.4155417586744447,0.2559361532197762,-0.1183317017758369,0.9494152191247263,1.6236149267962654,0.12011510848739866,20,26,,,0.954330993468347,21,0.4155417586744447,1.6236149267962652,0.0756,0.60198,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,OLR1,0.4100456205965132,0.22662957093992303,-0.06269538045370604,0.8827866216467325,1.809320905898956,0.08545804117024695,20,26,,,0.9001580336599345,22,0.41004562059651317,1.8093209058989552,0.063,0.60198,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,ITGB8,0.40096894712709635,0.24513985619985393,-0.11038383237380239,0.912321726627995,1.6356742365068553,0.11754895141478595,20,26,,,0.954330993468347,23,0.4009689471270963,1.6356742365068546,0.0762,0.60198,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,PLAUR,0.37758441325497755,0.2811617028040805,-0.20890862156535478,0.9640774480753098,1.3429439695707295,0.19433327330309944,20,26,,,0.954330993468347,24,0.3775844132549775,1.3429439695707293,0.1806,0.7840216216216217,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CMKLR1,0.3376510222336421,0.2570403774595761,-0.198525809618447,0.8738278540857312,1.3136108247691294,0.20384756467987855,20,26,,,0.954330993468347,25,0.3376510222336421,1.3136108247691294,0.1438,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,SLC31A2,0.33567614996079975,0.2742855980090976,-0.23647358159762888,0.9078258815192284,1.2238198155400997,0.23524279682381688,20,26,,,0.954330993468347,26,0.33567614996079975,1.2238198155400994,0.2078,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,BEST1,0.33113554686363733,0.3013212684866399,-0.29740960508326875,0.9596806988105434,1.0989451508907322,0.28484546736187594,20,26,,,0.954330993468347,27,0.33113554686363733,1.098945150890732,0.257,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,RGS1,0.33064850193154993,0.2790594960294563,-0.25145940639832165,0.9127564102614215,1.1848674086928335,0.24995903828230837,20,26,,,0.954330993468347,28,0.3306485019315499,1.184867408692833,0.2282,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,DCBLD2,0.31834177245859496,0.22043422859957557,-0.1414759709263611,0.778159515843551,1.4441576268850287,0.16417861328242056,20,26,,,0.954330993468347,29,0.3183417724585949,1.4441576268850278,0.1116,0.7347,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,APLNR,0.31810327777062775,0.3192588457693447,-0.34785900472050657,0.9840655602617621,0.9963804667778827,0.33096842009719707,20,26,,,0.954330993468347,30,0.3181032777706277,0.9963804667778825,0.2724,0.8093111111111112,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,ACVR1B,0.3103916042252093,0.2812302698227376,-0.2762444588897297,0.8970276673401483,1.1036920187178016,0.2828297259256558,20,26,,,0.954330993468347,31,0.3103916042252093,1.1036920187178016,0.2612,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,MSR1,0.3009372168183741,0.2574630295935448,-0.23612125193608263,0.8379956855728308,1.168856038451275,0.2562051737277643,20,26,,,0.954330993468347,32,0.30093721681837415,1.1688560384512754,0.2064,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,GPC3,0.2949909896494577,0.2841117882710802,-0.29765581562134613,0.8876377949202615,1.0382919745941597,0.31152487346960006,20,26,,,0.954330993468347,33,0.2949909896494577,1.0382919745941597,0.282,0.8101090909090908,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,PTGER2,0.29298367976707446,0.23312822920891135,-0.19331328488852634,0.7792806444226752,1.2567490464851656,0.22332485159070709,20,26,,,0.954330993468347,34,0.2929836797670744,1.256749046485165,0.1806,0.7840216216216217,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,HIF1A,0.28871756993529657,0.272109870922768,-0.2788936744498223,0.8563288143204155,1.0610330634320952,0.30132044239144395,20,26,,,0.954330993468347,35,0.28871756993529657,1.061033063432095,0.2444,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,GPR183,0.2740712599536812,0.27578765064926497,-0.3012116985080058,0.8493542184153682,0.9937764048116622,0.3322038268402474,20,26,,,0.954330993468347,36,0.27407125995368126,0.993776404811662,0.3016,0.8360140350877193,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CDKN1A,0.2708708423960099,0.23015998701123164,-0.209234477532599,0.7509761623246187,1.1768806816225255,0.2530602634047278,20,26,,,0.954330993468347,37,0.27087084239600995,1.1768806816225255,0.2164,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,RIPK2,0.2659664391709628,0.21861489141727464,-0.1900562333534619,0.7219891116953875,1.2165979977242598,0.2379202670515338,20,26,,,0.954330993468347,38,0.26596643917096274,1.2165979977242596,0.1562,0.7712375,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,MET,0.2613395568558376,0.25431632321644854,-0.26915499741671806,0.7918341111283933,1.027616133917647,0.31639908075663625,20,26,,,0.954330993468347,39,0.2613395568558376,1.0276161339176468,0.2606,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,SELL,0.2601073311964587,0.19054626212397435,-0.13736520660728652,0.6575798690002039,1.365061315279048,0.18739404501043677,20,26,,,0.954330993468347,40,0.2601073311964587,1.365061315279048,0.0944,0.6779636363636364,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CYBB,0.2544863596339879,0.20593979853594888,-0.17509653244929185,0.6840692517172677,1.235731808242809,0.2308767098346233,20,26,,,0.954330993468347,41,0.25448635963398797,1.2357318082428093,0.1462,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,TNFRSF1B,0.2527996417155066,0.1780801262904557,-0.11866899241086781,0.624268275841881,1.4195836839377598,0.17112841811719964,20,26,,,0.954330993468347,42,0.2527996417155067,1.4195836839377602,0.132,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,TIMP1,0.24869717452058676,0.3116944464743799,-0.4014860475407274,0.898880396581901,0.7978877305439215,0.43430761663187145,20,26,,,0.9823353820001004,43,0.24869717452058673,0.7978877305439214,0.4022,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,MMP14,0.23902284843457056,0.22906829636158837,-0.23880524470316056,0.7168509415723017,1.043456699294907,0.3091860639457931,20,26,,,0.954330993468347,44,0.23902284843457056,1.043456699294907,0.2204,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,ABCA1,0.23316216144117297,0.28940778620041874,-0.3705319019270267,0.8368562248093726,0.8056526899373228,0.42991837714658276,20,26,,,0.9823353820001004,45,0.23316216144117294,0.8056526899373225,0.384,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,STAB1,0.22183494934929912,0.18911183769193118,-0.17264543152133896,0.6163153302199372,1.1730357658026402,0.25456348265887224,20,26,,,0.954330993468347,46,0.2218349493492991,1.1730357658026402,0.1836,0.7840216216216217,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,IL4R,0.20671312431753483,0.20781582549345087,-0.2267830914251794,0.6402093400602491,0.9946938536884873,0.33176820967096854,20,26,,,0.954330993468347,47,0.20671312431753477,0.9946938536884871,0.245,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,IL6,0.20668117001063896,0.26130021427929967,-0.33838152573871066,0.7517438657599886,0.7909720647596589,0.438240156403209,20,26,,,0.9823353820001004,48,0.20668117001063893,0.7909720647596588,0.3666,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,EBI3,0.20188682040269038,0.2704384717323902,-0.36223794636551077,0.7660115871708915,0.7465166442830129,0.46404106036947,20,26,,,0.9823353820001004,49,0.20188682040269035,0.7465166442830126,0.394,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CLEC5A,0.20110633140084017,0.21255567713885953,-0.2422770416196594,0.6444897044213398,0.9461348391530391,0.355371564782758,20,26,,,0.9823353820001004,50,0.2011063314008402,0.9461348391530391,0.2676,0.8093111111111112,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,ADM,0.19788740619570167,0.2409908031730753,-0.30481060035056917,0.7005854127419725,0.8211409049231744,0.4212466788688567,20,26,,,0.9823353820001004,51,0.19788740619570172,0.8211409049231745,0.3224,0.8557483870967743,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,GPR132,0.19756075352887006,0.36208342566368984,-0.5577320372663837,0.9528535443241237,0.5456221951246351,0.5913598840339158,20,26,,,0.9823353820001004,52,0.19756075352887004,0.5456221951246348,0.5658,0.8881423076923077,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,IL15RA,0.19427920507910726,0.35247423341610973,-0.540969161929944,0.9295275720881585,0.5511869710196745,0.5876110211356494,20,26,,,0.9823353820001004,53,0.1942792050791072,0.5511869710196744,0.5774,0.8881423076923077,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,CX3CL1,0.19354194162065103,0.25458148820796134,-0.3375057371316949,0.7245896203729969,0.7602357224911475,0.45598301587546297,20,26,,,0.9823353820001004,54,0.19354194162065108,0.7602357224911477,0.3996,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,NMI,0.19151092834624844,0.23871919352196075,-0.30644858350134113,0.6894704401938381,0.8022435293986135,0.43184202396587956,20,26,,,0.9823353820001004,55,0.19151092834624842,0.8022435293986133,0.3572,0.8725909090909091,4999,Rademacher,HC3 (residual/(1-leverage))
total_association,SELE,0.18889132868693567,0.17171628142063758,-0.169302557656928,0.5470852150307993,1.1000199114737754,0.2843881601861588,20,26,,,0.954330993468347,56,0.1888913286869357,1.1000199114737754,0.1254,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage))
