model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta
total_mean_severity,ABCA1,0.23316216144117297,0.28940778620041874,-0.3705319019270267,0.8368562248093726,0.8056526899373228,0.42991837714658276,20.0,26,,,0.9823353820001004,45
total_mean_severity,STAB1,0.22183494934929912,0.18911183769193118,-0.17264543152133896,0.6163153302199372,1.1730357658026402,0.25456348265887224,20.0,26,,,0.954330993468347,46
total_mean_severity,IL4R,0.20671312431753483,0.20781582549345087,-0.2267830914251794,0.6402093400602491,0.9946938536884873,0.33176820967096854,20.0,26,,,0.954330993468347,47
total_mean_severity,IL6,0.20668117001063896,0.26130021427929967,-0.33838152573871066,0.7517438657599886,0.7909720647596589,0.438240156403209,20.0,26,,,0.9823353820001004,48
total_mean_severity,EBI3,0.20188682040269038,0.2704384717323902,-0.36223794636551077,0.7660115871708915,0.7465166442830129,0.46404106036947,20.0,26,,,0.9823353820001004,49
total_mean_severity,CLEC5A,0.20110633140084017,0.21255567713885953,-0.2422770416196594,0.6444897044213398,0.9461348391530391,0.355371564782758,20.0,26,,,0.9823353820001004,50
total_mean_severity,ADM,0.19788740619570167,0.2409908031730753,-0.30481060035056917,0.7005854127419725,0.8211409049231744,0.4212466788688567,20.0,26,,,0.9823353820001004,51
total_mean_severity,GPR132,0.19756075352887006,0.36208342566368984,-0.5577320372663837,0.9528535443241237,0.5456221951246351,0.5913598840339158,20.0,26,,,0.9823353820001004,52
total_mean_severity,IL15RA,0.19427920507910726,0.35247423341610973,-0.540969161929944,0.9295275720881585,0.5511869710196745,0.5876110211356494,20.0,26,,,0.9823353820001004,53
total_mean_severity,CX3CL1,0.19354194162065103,0.25458148820796134,-0.3375057371316949,0.7245896203729969,0.7602357224911475,0.45598301587546297,20.0,26,,,0.9823353820001004,54
total_mean_severity,NMI,0.19151092834624844,0.23871919352196075,-0.30644858350134113,0.6894704401938381,0.8022435293986135,0.43184202396587956,20.0,26,,,0.9823353820001004,55
total_mean_severity,SELE,0.18889132868693567,0.17171628142063758,-0.169302557656928,0.5470852150307993,1.1000199114737754,0.2843881601861588,20.0,26,,,0.954330993468347,56
total_mean_severity,ICAM1,0.17556229127442813,0.21792291959998403,-0.27901695333259025,0.6301415358814465,0.8056164610711327,0.429938791385032,20.0,26,,,0.9823353820001004,57
total_mean_severity,GABBR1,0.17503420741973394,0.21398744639376358,-0.27133578393141444,0.6214041987708824,0.8179648403189465,0.42301587156339404,20.0,26,,,0.9823353820001004,58
total_mean_severity,NPFFR2,0.17496166215812337,0.2760537437180688,-0.4008763567186592,0.7507996810349059,0.6337956508092502,0.5333963678675298,20.0,26,,,0.9823353820001004,59
total_mean_severity,SERPINE1,0.17494811673559107,0.28380927758003704,-0.41706766229128966,0.7669638957624718,0.6164284629005969,0.544565076890428,20.0,26,,,0.9823353820001004,60
total_mean_severity,PSEN1,0.17377843589706266,0.21645919627885551,-0.2777475353651711,0.6253044071592964,0.8028230672777285,0.4315146366870196,20.0,26,,,0.9823353820001004,61
total_mean_severity,OSMR,0.17305806050653944,0.19260463807980394,-0.22870817430179718,0.5748242953148761,0.89851450220443,0.37960168393824867,20.0,26,,,0.9823353820001004,62
total_mean_severity,TPBG,0.17148488756113844,0.23269135282028638,-0.3139007689168171,0.6568705440390941,0.7369628715579333,0.46970266063253974,20.0,26,,,0.9823353820001004,63
total_mean_severity,LYN,0.17006048050317507,0.26766580514297045,-0.38828060510804124,0.7284015661143914,0.6353463058620407,0.5324052440749267,20.0,26,,,0.9823353820001004,64
total_mean_severity,F3,0.16730118748986203,0.25160860204644114,-0.3575451593966703,0.6921475343763943,0.664926342458602,0.513692576988819,20.0,26,,,0.9823353820001004,65
total_mean_severity,NDP,0.16674645374464175,0.14770010223514968,-0.14135056067530755,0.47484346816459105,1.1289528661203554,0.2722777838740445,20.0,26,,,0.954330993468347,66
total_mean_severity,BST2,0.1637903648513416,0.23765831891425665,-0.33195620134244475,0.6595369310451279,0.6891842271695718,0.49862571287766244,20.0,26,,,0.9823353820001004,67
total_mean_severity,NFKBIA,0.15519312250847278,0.4015662130638326,-0.6824593195996469,0.9928455646165923,0.3864695720399251,0.7032299094234036,20.0,26,,,0.9839806753369736,68
total_mean_severity,CSF1,0.1542835466923454,0.22681720764917784,-0.31884885767474463,0.6274159510594355,0.6802109429500537,0.5041695043692521,20.0,26,,,0.9823353820001004,69
total_mean_severity,OSM,0.15291676678148153,0.26023217129275994,-0.3899180303378376,0.6957515639008007,0.5876166886739415,0.5633659636231587,20.0,26,,,0.9823353820001004,70
