donor,cell_type,gene_symbol,n_regions_observed,n_libraries,total_cells,region_balanced_mean_expm1_expression,region_balanced_mean_detection_fraction,cell_type_rank_within_donor,expression_relative_to_donor_gene_max,is_dominant_cell_type
donor_1,Bipolar cells,SLC31A1,2,2,764,0.1912394537651294,0.027571957822741522,3,0.23030862469213798,False
donor_1,Rod photoreceptors,SLC31A1,2,2,576,0.110505442278329,0.015828677839851025,4,0.13308109770787793,False
donor_1,Retinal ganglion cells,SLC31A1,2,2,177,0.10445273045674677,0.015723270440251572,5,0.12579185007700738,False
donor_1,Müller-enriched glia,SLC31A1,2,2,520,0.09882166149941878,0.028724518572234306,6,0.11901038463368119,False
donor_1,Horizontal cells,SLC31A1,2,2,52,0.09520001523200242,0.023809523809523808,7,0.11464885590857579,False
donor_1,Amacrine cells,SLC31A1,2,2,47,0.04538852578068264,0.011111111111111112,8,0.05466115251610667,False
donor_1,Pericytes,SLC31A1,2,2,34,0.028613285720825898,0.020833333333333332,9,0.03445882297059877,False
donor_1,Microglia,SLC31A1,2,2,49,0.016386887867803696,0.012195121951219513,10,0.01973463913180403,False
donor_1,Microglia,TLR2,2,2,49,0.25762149953087843,0.08689024390243902,1,1.0,True
donor_1,Rod photoreceptors,TLR2,2,2,576,0.0,0.0,2,0.0,False
donor_1,Cone photoreceptors,TLR2,2,2,91,0.0,0.0,3,0.0,False
donor_1,Bipolar cells,TLR2,2,2,764,0.0,0.0,4,0.0,False
donor_1,Retinal ganglion cells,TLR2,2,2,177,0.0,0.0,5,0.0,False
donor_1,Horizontal cells,TLR2,2,2,52,0.0,0.0,6,0.0,False
donor_1,Amacrine cells,TLR2,2,2,47,0.0,0.0,7,0.0,False
donor_1,Pericytes,TLR2,2,2,34,0.0,0.0,8,0.0,False
donor_1,Endothelial cells,TLR2,2,2,80,0.0,0.0,9,0.0,False
donor_1,Müller-enriched glia,TLR2,2,2,520,0.0,0.0,10,0.0,False
donor_2,Endothelial cells,CD82,2,2,82,0.35743356429063594,0.07965686274509803,1,1.0,True
donor_2,Müller-enriched glia,CD82,2,2,1167,0.34168288231234767,0.09015165314264562,2,0.9559339593371788,False
donor_2,Amacrine cells,CD82,1,1,15,0.2126528442317916,0.06666666666666667,3,0.5949436915747498,False
donor_2,Horizontal cells,CD82,2,2,16,0.12432862542271736,0.0625,4,0.34783701880225054,False
donor_2,Retinal ganglion cells,CD82,2,2,104,0.0594170003921522,0.0048543689320388345,5,0.16623229133523432,False
donor_2,Microglia,CD82,2,2,57,0.05301102629346905,0.027777777777777776,6,0.14831015212204524,False
donor_2,Cone photoreceptors,CD82,2,2,188,0.04923186230742692,0.0055248618784530384,7,0.13773709921487834,False
donor_2,Bipolar cells,CD82,2,2,1056,0.04312082651076355,0.009374127408352946,8,0.12064011558718979,False
donor_2,Rod photoreceptors,CD82,2,2,378,0.0,0.0,9,0.0,False
donor_2,Pericytes,CD82,2,2,47,0.0,0.0,10,0.0,False
donor_2,Microglia,FPR1,2,2,57,0.5093031191928573,0.202991452991453,1,1.0,True
donor_2,Rod photoreceptors,FPR1,2,2,378,0.0,0.0,2,0.0,False
donor_2,Cone photoreceptors,FPR1,2,2,188,0.0,0.0,3,0.0,False
donor_2,Bipolar cells,FPR1,2,2,1056,0.0,0.0,4,0.0,False
donor_2,Retinal ganglion cells,FPR1,2,2,104,0.0,0.0,5,0.0,False
donor_2,Horizontal cells,FPR1,2,2,16,0.0,0.0,6,0.0,False
donor_2,Amacrine cells,FPR1,1,1,15,0.0,0.0,7,0.0,False
donor_2,Pericytes,FPR1,2,2,47,0.0,0.0,8,0.0,False
donor_2,Endothelial cells,FPR1,2,2,82,0.0,0.0,9,0.0,False
donor_2,Müller-enriched glia,FPR1,2,2,1167,0.0,0.0,10,0.0,False
donor_2,Microglia,NLRP3,2,2,57,0.2241662930264226,0.08119658119658119,1,1.0,True
donor_2,Bipolar cells,NLRP3,2,2,1056,0.02441112577448952,0.0017152658662092624,2,0.10889739686069648,False
donor_2,Müller-enriched glia,NLRP3,2,2,1167,0.001704991464812727,0.0008710801393728223,3,0.007605922557731544,False
donor_2,Rod photoreceptors,NLRP3,2,2,378,0.0,0.0,4,0.0,False
donor_2,Cone photoreceptors,NLRP3,2,2,188,0.0,0.0,5,0.0,False
donor_2,Retinal ganglion cells,NLRP3,2,2,104,0.0,0.0,6,0.0,False
donor_2,Horizontal cells,NLRP3,2,2,16,0.0,0.0,7,0.0,False
donor_2,Amacrine cells,NLRP3,1,1,15,0.0,0.0,8,0.0,False
donor_2,Pericytes,NLRP3,2,2,47,0.0,0.0,9,0.0,False
donor_2,Endothelial cells,NLRP3,2,2,82,0.0,0.0,10,0.0,False
donor_2,Amacrine cells,P2RX4,1,1,15,1.043296817944705,0.06666666666666667,1,1.0,True
donor_2,Horizontal cells,P2RX4,2,2,16,1.0382059800664452,0.0625,2,0.9951204318936878,False
donor_2,Pericytes,P2RX4,2,2,47,0.35642999714856,0.017857142857142856,3,0.3416381522668948,False
donor_2,Microglia,P2RX4,2,2,57,0.19604060318267588,0.09615384615384615,4,0.18790491815059487,False
donor_2,Bipolar cells,P2RX4,2,2,1056,0.0892017788078768,0.032151262515457336,5,0.08549990498734993,False
donor_2,Müller-enriched glia,P2RX4,2,2,1167,0.050268536798767846,0.011184492717006188,6,0.04818239252161899,False
donor_2,Rod photoreceptors,P2RX4,2,2,378,0.03507108252427441,0.006077756696787472,7,0.03361563259951703,False
donor_2,Retinal ganglion cells,P2RX4,2,2,104,0.026497647008945597,0.0048543689320388345,8,0.02539799465807436,False
donor_2,Endothelial cells,P2RX4,2,2,82,0.02342447013848547,0.014705882352941176,9,0.022452354627738327,False
donor_2,Cone photoreceptors,P2RX4,2,2,188,0.018294244630639205,0.0027624309392265192,10,0.01753503347846768,False
donor_2,Pericytes,SLC31A1,2,2,47,0.6664502217720972,0.044172932330827065,1,1.0,True
donor_2,Endothelial cells,SLC31A1,2,2,82,0.32372933974638196,0.03982843137254902,2,0.4857517173384423,False
donor_2,Bipolar cells,SLC31A1,2,2,1056,0.17922796049480313,0.05855837887430691,3,0.26892925328801653,False
donor_2,Retinal ganglion cells,SLC31A1,2,2,104,0.16492070247364451,0.009708737864077669,4,0.24746139634422937,False
donor_2,Müller-enriched glia,SLC31A1,2,2,1167,0.07927915117781875,0.014640903455529375,5,0.11895734833280536,False
donor_2,Cone photoreceptors,SLC31A1,2,2,188,0.07443721190548072,0.008287292817679558,6,0.11169208062914511,False
donor_2,Rod photoreceptors,SLC31A1,2,2,378,0.06744427412521145,0.013859857864102647,7,0.10119926728492416,False
donor_2,Microglia,SLC31A1,2,2,57,0.05301102629346905,0.027777777777777776,8,0.07954236424816882,False
donor_2,Horizontal cells,SLC31A1,2,2,16,0.0,0.0,9,0.0,False
donor_2,Amacrine cells,SLC31A1,1,1,15,0.0,0.0,10,0.0,False
donor_2,Microglia,TLR2,2,2,57,0.25694655968000746,0.08333333333333333,1,1.0,True
donor_2,Bipolar cells,TLR2,2,2,1056,0.0021328846881487973,0.0008576329331046312,2,0.008300888289008499,False
donor_2,Rod photoreceptors,TLR2,2,2,378,0.0,0.0,3,0.0,False
donor_2,Cone photoreceptors,TLR2,2,2,188,0.0,0.0,4,0.0,False
donor_2,Retinal ganglion cells,TLR2,2,2,104,0.0,0.0,5,0.0,False
donor_2,Horizontal cells,TLR2,2,2,16,0.0,0.0,6,0.0,False
donor_2,Amacrine cells,TLR2,1,1,15,0.0,0.0,7,0.0,False
donor_2,Pericytes,TLR2,2,2,47,0.0,0.0,8,0.0,False
donor_2,Endothelial cells,TLR2,2,2,82,0.0,0.0,9,0.0,False
donor_2,Müller-enriched glia,TLR2,2,2,1167,0.0,0.0,10,0.0,False
donor_3,Müller-enriched glia,CD82,2,2,726,0.4527683265068501,0.1460292606546949,1,1.0,True
donor_3,Endothelial cells,CD82,2,2,92,0.4190570045678491,0.09420289855072464,2,0.9255439924451275,False
donor_3,Microglia,CD82,2,2,48,0.104964569730472,0.061669829222011384,3,0.23182842876904275,False
donor_3,Retinal ganglion cells,CD82,2,2,45,0.09568788185874391,0.03571428571428571,4,0.21133961069446897,False
donor_3,Bipolar cells,CD82,2,2,571,0.036070850868421114,0.012113509663793317,5,0.07966734587357534,False
donor_3,Rod photoreceptors,CD82,2,2,636,0.008762091686527407,0.0008928571428571428,6,0.019352262898175238,False
donor_3,Cone photoreceptors,CD82,2,2,25,0.0,0.0,7,0.0,False
donor_3,Horizontal cells,CD82,2,2,14,0.0,0.0,8,0.0,False
donor_3,Amacrine cells,CD82,1,1,36,0.0,0.0,9,0.0,False
donor_3,Pericytes,CD82,2,2,30,0.0,0.0,10,0.0,False
donor_3,Microglia,FPR1,2,2,48,0.5860163701475269,0.2523719165085389,1,1.0,True
donor_3,Rod photoreceptors,FPR1,2,2,636,0.0,0.0,2,0.0,False
donor_3,Cone photoreceptors,FPR1,2,2,25,0.0,0.0,3,0.0,False
donor_3,Bipolar cells,FPR1,2,2,571,0.0,0.0,4,0.0,False
donor_3,Retinal ganglion cells,FPR1,2,2,45,0.0,0.0,5,0.0,False
donor_3,Horizontal cells,FPR1,2,2,14,0.0,0.0,6,0.0,False
donor_3,Amacrine cells,FPR1,1,1,36,0.0,0.0,7,0.0,False
donor_3,Pericytes,FPR1,2,2,30,0.0,0.0,8,0.0,False
donor_3,Endothelial cells,FPR1,2,2,92,0.0,0.0,9,0.0,False
donor_3,Müller-enriched glia,FPR1,2,2,726,0.0,0.0,10,0.0,False
donor_3,Microglia,NLRP3,2,2,48,0.09010205422616915,0.07779886148007589,1,1.0,True
donor_3,Bipolar cells,NLRP3,2,2,571,0.010866966594944684,0.0017006802721088435,2,0.12060731232239201,False
donor_3,Rod photoreceptors,NLRP3,2,2,636,0.0,0.0,3,0.0,False
donor_3,Cone photoreceptors,NLRP3,2,2,25,0.0,0.0,4,0.0,False
donor_3,Retinal ganglion cells,NLRP3,2,2,45,0.0,0.0,5,0.0,False
donor_3,Horizontal cells,NLRP3,2,2,14,0.0,0.0,6,0.0,False
donor_3,Amacrine cells,NLRP3,1,1,36,0.0,0.0,7,0.0,False
donor_3,Pericytes,NLRP3,2,2,30,0.0,0.0,8,0.0,False
donor_3,Endothelial cells,NLRP3,2,2,92,0.0,0.0,9,0.0,False
donor_3,Müller-enriched glia,NLRP3,2,2,726,0.0,0.0,10,0.0,False
donor_3,Microglia,P2RX4,2,2,48,0.5934266728619038,0.20398481973434535,1,1.0,True
donor_3,Amacrine cells,P2RX4,1,1,36,0.3054181174027243,0.027777777777777776,2,0.5146686715812623,False
donor_3,Pericytes,P2RX4,2,2,30,0.12540128410914922,0.03125,3,0.21131723571571132,False
donor_3,Bipolar cells,P2RX4,2,2,571,0.050693594115942195,0.015932365726073823,4,0.08542520320406814,False
donor_3,Müller-enriched glia,P2RX4,2,2,726,0.04453759328214249,0.017575965161227187,5,0.0750515528183999,False
donor_3,Rod photoreceptors,P2RX4,2,2,636,0.04274824352933923,0.005357142857142857,6,0.07203626915382547,False
donor_3,Retinal ganglion cells,P2RX4,2,2,45,0.014854956207589101,0.011904761904761904,7,0.02503250508769429,False
donor_3,Cone photoreceptors,P2RX4,2,2,25,0.0,0.0,8,0.0,False
donor_3,Horizontal cells,P2RX4,2,2,14,0.0,0.0,9,0.0,False
donor_3,Endothelial cells,P2RX4,2,2,92,0.0,0.0,10,0.0,False
donor_3,Amacrine cells,SLC31A1,1,1,36,0.39870283943535534,0.08333333333333333,1,1.0,True
donor_3,Rod photoreceptors,SLC31A1,2,2,636,0.21724646077229626,0.03167293233082707,2,0.5448831542809216,False
donor_3,Microglia,SLC31A1,2,2,48,0.21074189350225112,0.12333965844402277,3,0.5285688303617418,False
donor_3,Pericytes,SLC31A1,2,2,30,0.20543944480815465,0.1294642857142857,4,0.5152695804702542,False
donor_3,Bipolar cells,SLC31A1,2,2,571,0.16684362463990626,0.05407794886907832,5,0.4184661059253827,False
donor_3,Endothelial cells,SLC31A1,2,2,92,0.14736974337480527,0.021739130434782608,6,0.3696230094160125,False
donor_3,Müller-enriched glia,SLC31A1,2,2,726,0.10195186567669798,0.0319714243773548,7,0.25570890295409643,False
donor_3,Retinal ganglion cells,SLC31A1,2,2,45,0.014854956207589101,0.011904761904761904,8,0.03725821523776142,False
donor_3,Cone photoreceptors,SLC31A1,2,2,25,0.0,0.0,9,0.0,False
donor_3,Horizontal cells,SLC31A1,2,2,14,0.0,0.0,10,0.0,False
donor_3,Microglia,TLR2,2,2,48,0.5356498049364502,0.198292220113852,1,1.0,True
donor_3,Rod photoreceptors,TLR2,2,2,636,0.0,0.0,2,0.0,False
donor_3,Cone photoreceptors,TLR2,2,2,25,0.0,0.0,3,0.0,False
donor_3,Bipolar cells,TLR2,2,2,571,0.0,0.0,4,0.0,False
donor_3,Retinal ganglion cells,TLR2,2,2,45,0.0,0.0,5,0.0,False
donor_3,Horizontal cells,TLR2,2,2,14,0.0,0.0,6,0.0,False
donor_3,Amacrine cells,TLR2,1,1,36,0.0,0.0,7,0.0,False
donor_3,Pericytes,TLR2,2,2,30,0.0,0.0,8,0.0,False
donor_3,Endothelial cells,TLR2,2,2,92,0.0,0.0,9,0.0,False
donor_3,Müller-enriched glia,TLR2,2,2,726,0.0,0.0,10,0.0,False
