contrast,multiplicity_family,gene_symbol,case_group,control_group,n_case_donors,n_control_donors,mean_difference,cliff_delta,mannwhitney_pvalue,covariate_adjusted_case_beta,covariate_adjusted_case_pvalue_t,covariate_adjusted_residual_df,covariate_adjusted_estimable,mannwhitney_padj_within_contrast_158,mannwhitney_padj_global_790,adjusted_padj_within_contrast_158,adjusted_padj_global_estimable_contrasts
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,HRH1,PDR + DME,NPDR + DME,2,5,-0.13687828811215852,-0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ICAM1,PDR + DME,NPDR + DME,2,5,0.3592039001376133,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ICOSLG,PDR + DME,NPDR + DME,2,5,0.13860385267731956,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IFITM1,PDR + DME,NPDR + DME,2,5,0.10120703450029911,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IFNAR1,PDR + DME,NPDR + DME,2,5,0.024993734923297595,0.0,1.0,,,,False,1.0,1.0,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IFNGR2,PDR + DME,NPDR + DME,2,5,-0.07811511454211395,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL10RA,PDR + DME,NPDR + DME,2,5,0.02074086652592566,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL15,PDR + DME,NPDR + DME,2,5,0.39485059279499035,1.0,0.09523809523809523,,,,False,0.974306269270298,0.5743633632718074,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL15RA,PDR + DME,NPDR + DME,2,5,0.03192644312318804,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL18,PDR + DME,NPDR + DME,2,5,0.15332796883658784,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL18R1,PDR + DME,NPDR + DME,2,5,-0.14618409615288797,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL1B,PDR + DME,NPDR + DME,2,5,-0.17656114240158172,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL1R1,PDR + DME,NPDR + DME,2,5,-0.020095759934630752,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL4R,PDR + DME,NPDR + DME,2,5,0.2857359985493648,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IL6,PDR + DME,NPDR + DME,2,5,0.13802998403430033,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,INHBA,PDR + DME,NPDR + DME,2,5,0.14272099672420224,0.4,0.5714285714285714,,,,False,0.974306269270298,0.911976911976912,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IRAK2,PDR + DME,NPDR + DME,2,5,0.014389654870428537,0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IRF1,PDR + DME,NPDR + DME,2,5,-0.20832958107669475,-0.2,0.8571428571428571,,,,False,0.974306269270298,0.9808110964180328,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,IRF7,PDR + DME,NPDR + DME,2,5,-0.620268944020125,-0.8,0.19047619047619047,,,,False,0.974306269270298,0.7034758410469986,,
PDR_DME_vs_NPDR_DME,exploratory_contrast_family,ITGA5,PDR + DME,NPDR + DME,2,5,-0.28018637509421596,-0.6,0.38095238095238093,,,,False,0.974306269270298,0.8515183213038158,,
