model,gene_symbol,severity_beta,severity_se_hc3,severity_ci_low_t,severity_ci_high_t,severity_t,severity_pvalue_t,residual_df,n_donors,dme_beta,dme_pvalue_t,severity_padj_bh_158,rank_descending_beta,observed_beta,observed_hc3_t,wild_bootstrap_t_two_sided_p,wild_bootstrap_t_padj_bh_158,wild_bootstrap_iterations,wild_bootstrap_weight,null_residual_scaling,bootstrap_top5_frequency,bootstrap_top10_frequency,bootstrap_top20_frequency,bootstrap_positive_frequency,bootstrap_beta_median,bootstrap_beta_ci_low,bootstrap_beta_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_iterations,lodo_top5_frequency,lodo_top10_frequency,lodo_top20_frequency,lodo_positive_frequency,lodo_beta_min,lodo_beta_max,lodo_rank_min,lodo_rank_median,lodo_rank_max,candidate_tier,maximum_cooks_distance,maximum_cooks_donor,maximum_absolute_severity_dfbeta
total_association,PIK3R5,0.4797802427119435,0.23303169875984758,-0.006315362955362058,0.9658758483792491,2.058862572196173,0.05276974137696544,20,26,,,0.7579653761418673,11,0.4797802427119436,2.058862572196173,0.0308,0.4081666666666667,4999,Rademacher,HC3 (residual/(1-leverage)),0.112,0.2725,0.5295,0.986,0.48716247,0.067479804,0.8189176,19.0,2.0,77.0,2000,0.038461538461538464,0.38461538461538464,1.0,1.0,0.3448455252565406,0.6080667715174499,5,11.0,20,not prioritized,,,
total_association,P2RY2,0.4749085226536275,0.23741352808501542,-0.020327418818135767,0.9701444641253907,2.0003431417082833,0.05922568312130609,20,26,,,0.7632862778240755,12,0.4749085226536275,2.000343141708283,0.031,0.4081666666666667,4999,Rademacher,HC3 (residual/(1-leverage)),0.12,0.25,0.512,0.986,0.46991548,0.07647313,0.81377196,20.0,2.0,89.0,2000,0.038461538461538464,0.34615384615384615,1.0,1.0,0.3500768776247929,0.5679401021177596,3,13.0,19,not prioritized,,,
total_association,CD14,0.4583663878479525,0.2089269260597755,0.02255245693764868,0.8941803187582562,2.1939076809889526,0.04022458877346979,20,26,,,0.6355485026208226,13,0.4583663878479523,2.1939076809889513,0.0072,0.14395555555555556,4999,Rademacher,HC3 (residual/(1-leverage)),0.1005,0.232,0.488,0.996,0.46781498,0.12580468,0.8290605,21.0,2.0,69.0,2000,0.038461538461538464,0.07692307692307693,0.9615384615384616,1.0,0.3561756215642865,0.604804504216709,3,14.5,23,not prioritized,,,
total_association,SLC31A1,0.4537645111952447,0.3141502843801295,-0.201541498969873,1.1090705213603624,1.4444185912185221,0.16410605498013933,20,26,,,0.954330993468347,14,0.4537645111952445,1.4444185912185212,0.2302,0.8092078431372549,4999,Rademacher,HC3 (residual/(1-leverage)),0.131,0.251,0.4245,0.9075,0.42797858,-0.29391155,0.8221062,26.0,2.0,142.02499999999986,2000,0.038461538461538464,0.15384615384615385,0.8461538461538461,1.0,0.30669248134501537,0.593580810659116,3,15.0,39,estimand-dependent candidate,0.9233837547201809,13_030,0.6726688282100639
total_association,SLC4A4,0.45186412950691435,0.19264181875724629,0.05002033716448845,0.8537079218493402,2.3456180616542137,0.029418886259823633,20,26,,,0.5342834344072349,15,0.45186412950691446,2.3456180616542137,0.0092,0.14536,4999,Rademacher,HC3 (residual/(1-leverage)),0.0855,0.2205,0.506,0.9975,0.4709627,0.1793908,0.7816499,20.0,3.0,71.0,2000,0.0,0.038461538461538464,0.9615384615384616,1.0,0.4110876175288134,0.5281501948469007,10,15.0,22,not prioritized,,,
total_association,TLR1,0.4448284339849868,0.27072537578975314,-0.11989480415974568,1.0095516721297193,1.643098408072552,0.11599226603378741,20,26,,,0.954330993468347,16,0.44482843398498684,1.6430984080725521,0.0558,0.58776,4999,Rademacher,HC3 (residual/(1-leverage)),0.235,0.356,0.5515,0.992,0.4951533,0.09401215,0.96538734,18.0,1.0,85.0,2000,0.038461538461538464,0.19230769230769232,0.7692307692307693,1.0,0.3746826500774534,0.6151185122406657,3,17.0,26,not prioritized,,,
total_association,TNFSF10,0.434767359760835,0.26828019273517434,-0.12485531591017218,0.9943900354318422,1.620571967420659,0.12077004314963197,20,26,,,0.954330993468347,17,0.43476735976083497,1.6205719674206582,0.076,0.60198,4999,Rademacher,HC3 (residual/(1-leverage)),0.1385,0.2605,0.4495,0.974,0.43987823,-0.00640695,0.811082,23.0,1.0,105.02499999999986,2000,0.038461538461538464,0.07692307692307693,0.7692307692307693,1.0,0.34995773226053417,0.5611247925744537,5,18.0,28,not prioritized,,,
total_association,HPN,0.43010510968696775,0.23125354982867236,-0.05228134230611153,0.9124915616800471,1.8598854374586575,0.07767445109296135,20,26,,,0.8766116623348496,18,0.4301051096869678,1.8598854374586573,0.0554,0.58776,4999,Rademacher,HC3 (residual/(1-leverage)),0.08,0.177,0.3955,0.966,0.43834588,-0.027133359,0.8340571,25.0,2.0,99.0,2000,0.0,0.038461538461538464,0.7307692307692307,1.0,0.2920837714915952,0.5583656863765246,8,19.0,27,not prioritized,,,
total_association,CD40,0.4265808100200284,0.29738606936955314,-0.1937556604109218,1.0469172804509785,1.4344344068448232,0.16690063186840082,20,26,,,0.954330993468347,19,0.4265808100200284,1.4344344068448227,0.1418,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage)),0.1665,0.2645,0.418,0.9635,0.4139931,-0.038583655,0.92206734,27.0,1.0,106.02499999999986,2000,0.038461538461538464,0.07692307692307693,0.7307692307692307,1.0,0.26217512815043686,0.6004378573828972,2,19.0,49,not prioritized,,,
total_association,C3AR1,0.41624072633758497,0.28730822548884277,-0.1830737301309518,1.0155551828061218,1.4487602143285978,0.1629027240793935,20,26,,,0.954330993468347,20,0.416240726337585,1.4487602143285978,0.1344,0.7451483870967742,4999,Rademacher,HC3 (residual/(1-leverage)),0.063,0.1805,0.4145,0.9865,0.43652534,0.049856603,0.7828693,25.0,3.0,85.0,2000,0.038461538461538464,0.07692307692307693,0.6538461538461539,1.0,0.2608239256791653,0.5806351100876987,5,20.0,35,not prioritized,,,
