gene_symbol,lodo_top5_frequency,lodo_top10_frequency,lodo_top20_frequency,lodo_positive_frequency,lodo_beta_min,lodo_beta_max,lodo_rank_min,lodo_rank_median,lodo_rank_max
ICOSLG,0.0,0.0,0.0,0.8846153846153846,-0.048096419448312035,0.19232839514740574,55,86.5,121
IFITM1,0.0,0.0,0.0,0.038461538461538464,-0.2997557152680904,0.038316478285449096,100,146.0,156
IFNAR1,0.0,0.0,0.0,0.11538461538461539,-0.14928887616438158,0.18041284070873675,54,126.5,142
IFNGR2,0.07692307692307693,0.46153846153846156,0.9230769230769231,1.0,0.3788096536761909,0.6636541332639231,1,11.0,24
IL10RA,0.15384615384615385,0.8846153846153846,1.0,1.0,0.45561916339500447,0.5784360198589925,3,8.0,15
IL15,0.0,0.0,0.0,0.38461538461538464,-0.11951686137191643,0.07888760890057227,90,111.5,136
IL15RA,0.0,0.0,0.0,0.9615384615384616,-0.04891932409225504,0.30369722083291595,25,54.5,121
IL18,0.0,0.0,0.0,0.0,-0.3284240348182007,-0.20579480209685894,148,154.0,157
IL18R1,0.0,0.0,0.0,0.6153846153846154,-0.20146020440982015,0.11580211257945593,83,104.0,144
IL1B,0.0,0.0,0.0,1.0,0.05064515757648475,0.3230656473065445,36,72.0,95
IL1R1,0.0,0.0,0.0,0.19230769230769232,-0.09899353630090489,0.04209103472819549,97,118.0,133
IL4R,0.0,0.0,0.0,1.0,0.13903068355815063,0.28536576499833116,32,50.0,73
IL6,0.0,0.0,0.038461538461538464,1.0,0.06343601678772587,0.46381333099282424,16,53.0,93
INHBA,0.0,0.0,0.0,0.11538461538461539,-0.19840442539877765,0.09572669673510432,85,118.0,141
IRAK2,0.0,0.0,0.0,0.11538461538461539,-0.24681426517852048,0.11413603154147356,80,122.0,149
IRF1,0.0,0.0,0.0,0.07692307692307693,-0.2171332139758483,0.023696089512606978,103,128.0,148
IRF7,0.0,0.0,0.0,0.0,-0.3983912659677308,-0.16169654795507457,135,153.0,158
ITGA5,0.0,0.0,0.0,1.0,0.020626710015635312,0.20039168220726797,61,78.5,103
ITGB3,0.0,0.0,0.0,0.7692307692307693,-0.11985684865687309,0.17135287354889184,56,102.0,139
ITGB8,0.0,0.0,0.2692307692307692,1.0,0.23711913821546,0.496877145429409,11,22.0,44
KCNA3,0.0,0.0,0.0,0.11538461538461539,-0.1444821798217616,0.044295695182704944,102,122.0,141
KCNJ2,0.0,0.0,0.0,0.0,-0.31859875107496133,-0.18769793378588603,145,154.5,157
KCNMB2,0.0,0.0,0.0,0.6923076923076923,-0.09824072978100386,0.1539698701230704,62,101.5,133
KIF1B,0.0,0.0,0.0,0.038461538461538464,-0.32182178608154083,0.004164577190618078,103,141.0,157
KLF6,0.0,0.0,0.0,1.0,0.02120822275917695,0.25053421200823595,41,68.5,102
LAMP3,0.0,0.0,0.0,0.0,-0.37311306070057426,-0.0843103158701094,129,147.5,155
LCP2,0.0,0.0,0.0,0.9230769230769231,-0.004510780668307448,0.20591336932429144,57,89.5,108
LDLR,0.0,0.0,0.0,0.4230769230769231,-0.11388803081697454,0.1603634328557704,59,108.5,137
LIF,0.0,0.0,0.0,1.0,0.05285788430609566,0.20354632510169537,60,79.5,93
LPAR1,0.0,0.0,0.0,0.0,-0.43160893331473393,-0.16466321865333816,140,153.0,157
LY6E,0.0,0.0,0.0,1.0,0.057623013032153114,0.2568349531717823,47,72.0,93
LYN,0.0,0.0,0.0,1.0,0.05533740695175892,0.33476199188308214,33,65.5,97
MEFV,0.0,0.0,0.0,0.0,-0.324074214774579,-0.13982672742457067,137,151.0,157
